Chemical species: H2 He H2O SO2
P (bar) | log_H2: -2σ | log_H2: -1σ | log_H2: median | log_H2: +1σ | log_H2: +2σ 
1.00000000e+02 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
8.11130831e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
6.57933225e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
5.33669923e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
4.32876128e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
3.51119173e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
2.84803587e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
2.31012970e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.87381742e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.51991108e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.23284674e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.00000000e+01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
8.11130831e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
6.57933225e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
5.33669923e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
4.32876128e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
3.51119173e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
2.84803587e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
2.31012970e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.87381742e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.51991108e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.23284674e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
1.00000000e+00 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
8.11130831e-01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
6.57933225e-01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
5.33669923e-01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
4.32876128e-01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
3.51119173e-01 -0.11777425 -0.09483772 -0.08094386 -0.07285763 -0.06937623 
